"ID","Essai","Temps Experience","Temps total Inactivite","Temps total Activite","Temps total de Manipulation","Nbr Total de Manipulation","Temps Total Consultation Instruction","Nb Total de Consultation","Nombre erreur","Proposition_Phase"
"ID63","4","196.500046","98.822868","97.677185","86.899376","16","10.777800","8","1","1"
"ID63","5","158.088928","74.844147","83.244781","82.344788","17","0.900000","1","1","2"
"ID63","6","139.155579","60.697521","78.458069","74.524734","18","3.933330","4","1","2"
"ID63","7","119.277779","80.158653","39.119122","39.119122","12","0.000000","0","0","2"
"ID63","8","79.866638","49.679848","30.186790","30.186790","12","0.000000","0","0","3"
"ID63","9","112.300034","39.495529","72.804497","72.804497","12","0.000000","0","0","3"
"ID64","1","261.488892","109.348198","152.140701","106.074402","37","46.066303","23","12","1"
"ID64","2","171.866592","84.814598","87.052002","55.407600","26","31.644400","21","2","1"
"ID64","3","156.644394","82.671600","73.972801","57.384102","23","16.588699","19","8","1"
"ID64","4","130.588898","69.666801","60.922100","49.255501","23","11.666600","9","4","1"
"ID64","5","174.722214","130.787003","43.935200","43.935200","18","0.000000","0","0","2"
"ID64","6","67.066711","36.923859","30.142851","30.142851","16","0.000000","0","0","3"
"ID64","7","70.955536","33.041851","37.913689","37.913689","19","0.000000","0","0","3"
"ID65","1","470.555573","221.893692","248.661911","123.639305","79","125.022598","55","53","1"
"ID65","2","247.033295","135.138489","111.894798","85.750397","52","26.144400","16","22","1"
"ID65","3","103.677803","67.436707","36.241100","27.318701","13","8.922400","16","0","1"
"ID65","4","86.122200","44.451401","41.670799","38.937500","13","2.733300","6","0","1"
"ID65","5","73.166702","44.145802","29.020901","29.020901","11","0.000000","0","0","2"
"ID65","6","82.077751","36.964993","45.112759","45.112759","16","0.000000","0","0","3"
"ID65","7","42.988838","22.998110","19.990730","19.990730","13","0.000000","0","0","3"
"ID66","1","103.866600","50.487301","53.379299","22.312799","18","31.066500","23","0","1"
"ID66","2","91.233353","54.434898","36.798447","27.465179","20","9.333270","15","0","1"
